,Unnamed: 0,ward code,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,ward name,nonwork_rate,middle_high_class_pro,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,young_people,children_teenager,old_people,middle_aged,household_deprivation_rate,mean_rent_price
127,127,E05011467,105,65.0,0.0,40.0,0.0,96.98095238095236,5.114285714285714,0.9688888888888888,141.9047619047619,4.714153846153846,Crystal Palace & Upper Norwood,0.08,0.56,0.06,0.42,3.92,16299.0,0.03,0.14,89.5,0.09,0.18,0.12,0.61,0.48,1337.44
128,128,E05011468,223,175.0,0.0,48.0,0.0,103.69058295964126,4.224215246636772,1.044635761589404,170.97757847533632,4.640098039215687,Fairfield,0.1,0.53,0.07,0.54,4.36,15756.0,0.03,0.11,428.33,0.11,0.18,0.05,0.66,0.5,1291.9
129,129,E05011469,6,3.0,0.0,3.0,0.0,116.0,2.5,0.4675,196.16666666666663,4.739999999999999,Kenley,0.05,0.6,0.06,0.24,4.69,10405.0,0.04,0.14,34.67,0.1,0.18,0.19,0.53,0.39,1197.31
130,130,E05011470,11,2.0,0.0,8.0,1.0,82.36363636363636,2.1818181818181817,0.2716666666666666,186.9090909090909,4.554,New Addington North,0.14,0.28,0.12,0.39,6.95,11126.0,0.06,0.18,56.88,0.17,0.26,0.1,0.47,0.69,1032.71
131,131,E05011471,7,1.0,0.0,6.0,0.0,54.42857142857143,1.4285714285714286,0.6766666666666667,276.2857142857143,4.86,New Addington South,0.12,0.35,0.09,0.29,6.3,11182.0,0.06,0.19,76.0,0.13,0.21,0.14,0.52,0.66,1059.66
132,132,E05011472,47,23.0,0.0,24.0,0.0,95.72340425531917,3.6808510638297873,1.128974358974359,167.38297872340425,4.430769230769231,Norbury & Pollards Hill,0.11,0.43,0.08,0.46,4.6,12474.0,0.04,0.13,76.71,0.11,0.18,0.14,0.57,0.55,1226.84
133,133,E05011473,46,16.0,0.0,30.0,0.0,92.95652173913044,3.4347826086956523,0.5870967741935483,199.32608695652172,4.543043478260869,Norbury Park,0.11,0.45,0.08,0.36,4.37,10546.0,0.05,0.14,64.79,0.12,0.17,0.17,0.54,0.52,1204.53
134,134,E05011474,10,5.0,0.0,5.0,0.0,73.4,1.6,2.815555555555556,156.7,4.887777777777778,Old Coulsdon,0.06,0.56,0.05,0.2,5.07,9756.0,0.04,0.15,39.54,0.1,0.19,0.22,0.49,0.47,1087.06
135,135,E05011475,18,8.0,0.0,9.0,1.0,111.33333333333331,2.7222222222222223,0.7426666666666666,134.94444444444446,4.8,Park Hill & Whitgift,0.08,0.62,0.06,0.42,3.97,5764.0,0.04,0.13,23.54,0.08,0.18,0.19,0.55,0.44,1293.0
136,136,E05011476,44,23.0,0.0,21.0,0.0,116.70454545454544,2.227272727272727,0.6943478260869566,194.22727272727272,4.807333333333333,Purley & Woodcote,0.09,0.58,0.06,0.31,4.54,16523.0,0.04,0.15,99.38,0.1,0.18,0.19,0.53,0.43,1221.16
137,137,E05011477,26,9.0,0.0,17.0,0.0,80.0,2.076923076923077,1.178,154.84615384615384,4.814,Purley Oaks & Riddlesdown,0.07,0.59,0.07,0.31,4.43,10507.0,0.03,0.12,41.5,0.1,0.19,0.15,0.56,0.42,1223.05
138,138,E05011478,14,5.0,0.0,8.0,1.0,65.14285714285714,2.142857142857143,1.0141666666666669,158.57142857142858,4.857272727272727,Sanderstead,0.06,0.61,0.05,0.22,4.09,15517.0,0.04,0.14,41.83,0.1,0.18,0.23,0.49,0.42,1288.49
139,139,E05011479,61,23.0,0.0,37.0,1.0,70.80327868852459,2.622950819672131,1.0873684210526315,153.95081967213116,4.734814814814815,Selhurst,0.13,0.37,0.1,0.46,5.03,12924.0,0.05,0.15,131.75,0.13,0.22,0.09,0.56,0.62,1071.21
140,140,E05011480,22,3.0,0.0,19.0,0.0,86.04545454545455,1.2272727272727273,2.191875,273.59090909090907,4.505384615384616,Selsdon & Addington Village,0.07,0.53,0.07,0.25,4.75,10324.0,0.04,0.15,40.33,0.12,0.17,0.21,0.5,0.49,1168.43
141,141,E05011481,8,3.0,0.0,5.0,0.0,75.125,1.625,1.38,161.125,4.6075,Selsdon Vale & Forestdale,0.06,0.55,0.05,0.23,5.04,9701.0,0.04,0.15,40.04,0.09,0.18,0.2,0.53,0.48,1005.53
142,142,E05011482,14,4.0,0.0,10.0,0.0,97.42857142857144,7.928571428571429,1.452,246.78571428571428,4.8342857142857145,Shirley North,0.09,0.5,0.07,0.28,4.55,15322.0,0.05,0.16,72.17,0.11,0.18,0.19,0.52,0.52,1283.99
